DataYear,BuildingType,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,mean_GFA_per_floor,Number_of_Use_Types
2016,Nonresidential COS,Other,47.60729,-122.34211,1.0,69400,0,Other - Entertainment/Public Assembly,14833476.0,301.76,36,23133.333333333332,1
2016,NonResidential,Mixed Use Property,47.6041,-122.33958,1.0,62900,0,Restaurant,10394330.0,377.27,116,31450.0,3
2016,NonResidential,Small- and Mid-Sized Office,47.60271,-122.33557,1.0,56500,0,Office,1380293.625,44.22,102,11300.0,2
2016,NonResidential,Warehouse,47.59486,-122.32455,1.0,203504,0,Non-Refrigerated Warehouse,3785282.5,26.39,8,40700.8,2
2016,NonResidential,Large Office,47.61757,-122.35122,0.0,100734,26731,Office,9788717.0,68.24,48,18500.75,1
2016,NonResidential,Small- and Mid-Sized Office,47.61703,-122.35012,1.0,77662,18504,Office,5007401.0,68.19,35,11831.6,2
2016,NonResidential,Large Office,47.61619,-122.34599,1.0,234000,21790,Office,18661606.0,149.27,38,16323.846153846154,4
2016,NonResidential,Large Office,47.61217,-122.33694,1.0,369996,0,Office,24755086.0,172.58,27,14230.615384615385,2
2016,NonResidential,Retail Store,47.61229,-122.33629,1.0,693450,0,Retail Store,40062888.0,398.19,91,63040.90909090909,2
2016,NonResidential,Large Office,47.61316,-122.3343,1.0,791396,0,Office,40847752.0,313.3,40,23276.352941176472,5
2016,NonResidential,Large Office,47.61399,-122.33523,1.0,747747,205076,Office,30985420.0,359.11,16,22611.291666666668,3
2016,NonResidential,Small- and Mid-Sized Office,47.61356,-122.33665,1.0,63409,7757,Office,3444270.0,170.51,90,5059.272727272727,2
2016,NonResidential,Large Office,47.61375,-122.33566,1.0,204790,30000,Office,7739699.0,100.26,86,9710.555555555555,4
2016,NonResidential,Small- and Mid-Sized Office,47.61256,-122.33808,1.0,73399,0,Office,3757006.0,26.19,100,12233.166666666666,2
2016,NonResidential,Large Office,47.61578,-122.33726,1.0,758043,228668,Office,27018020.0,229.25,7,20360.576923076922,2
2016,NonResidential,Large Office,47.61641,-122.34112,1.0,206000,0,Office,8580279.0,222.19,48,15846.153846153846,2
2016,NonResidential,Large Office,47.61555,-122.33582,1.0,824887,154972,Office,39523852.0,275.54,7,18105.81081081081,2
2016,NonResidential,Large Office,47.61516,-122.33303,1.0,480840,141600,Office,17867002.0,130.73,26,19955.29411764706,5
